IdCliente,DiasComoCliente,TotalTransacoes
000ff655-fa9f-4baa-a108-47f581ec52a1,578.549147407524,395
001749bd-37b5-4b1e-8111-f9fbba90f530,578.549147407524,1
0019bb9e-26d4-4ebf-8727-fc911ea28a92,578.549147407524,2
002970bd-65c2-42bf-a17d-2bc5e95e2f0b,47.1486265743151,0
0033b737-8235-4c0f-9801-dc4ca185af00,194.015536296181,548
00684343-40b5-4ce7-b2e8-71a5340973bf,578.549147407524,0
007b8e64-a244-4404-8992-3b8098b33ccc,82.8729552780278,0
0097ab76-4637-4ece-8ebc-ab6abd61d662,578.549147407524,5
00a2aa20-fd00-4c09-bab0-caf674e5cd30,119.039714537095,6
00a6d4c8-38e5-4e92-981e-4e4ac5084546,186.029031666927,224
00a8cd72-1d5e-4c6e-8816-85a4de296a28,119.038557129912,1
00ae41c3-9aba-49dd-9a07-c82e15b75e9a,55.9270177776925,1
00c26486-33e8-4af9-8e0f-4ee220252ca9,578.549147407524,0
00cde3c9-db42-494c-82c1-ee638a0b08fa,76.0419136113487,4
00d8af70-17fb-422e-8675-37c8c47c36fd,7.04819833347574,2
00f9cc87-c956-4b27-92e2-c96c5774083e,578.549147407524,3
0122142b-464c-414a-9aad-e901f492a1a3,234.048152036965,27
012bc897-e45c-4e6a-a742-7e00fa2e59e5,578.549147407524,2
0136afea-76c9-45c0-b9db-0212595418e5,578.549147407524,4
014491f5-caa3-4122-be69-a31411ad4bd7,280.028476111125,7
0147f062-0e6c-46a9-a66d-d0bc4d651a73,236.054367315024,1
014b7774-561a-4a58-93d7-070667df90fb,578.549147407524,28
0150aea5-5a40-4c7b-8b2b-de741537cc93,27.707006203942,0
015e35f3-70d3-43f3-895d-cdea386118d7,578.549147407524,19
015fe52e-cc46-40c2-a496-2d228208bb2e,578.549147407524,2
016cfd4a-8dd3-4d78-9a08-b6829775f86d,263.054946018849,5
017cc9ca-7856-4253-8fa8-13cb6cfadaa1,84.0482330555096,5
01cada67-8f31-475b-8b34-344d953d739a,578.549147407524,4
01ccd9fc-a0d4-4bb3-8d70-005818be596c,194.020547870547,2
01cde407-359c-44a9-9979-96e07ac43e53,7.02941361116245,1
01f2e6ea-4fc4-4eb3-94aa-3f36109a9787,578.549147407524,29
01f3a765-a092-4999-be4b-98fc5404653b,578.549147407524,6
022ee093-36c6-4519-9404-b145a086b40c,214.081844166853,81
024e6468-2bde-482a-8f9c-9ddc62d28d04,82.0448302780278,23
025f30ce-4b1b-429f-b92b-5b3f7003699f,578.549147407524,1
0262b6a5-db4c-49ba-b139-86fc3cb6278f,578.549147407524,1
0269fbcd-ae33-43e9-a6b0-63d8ac4a1a49,41.4506636112928,0
0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,186.988823333289,434
029582ed-b0ec-4b76-9be8-a93f6b288619,8.49709879653528,0
02adccd0-1559-4f7d-bc92-02ec73e68773,578.549147407524,4
02bfd4d9-4dd6-44e5-88b8-2cc08caf3267,178.066589537077,524
02cb6641-a115-4c53-a6ab-22b332d8e5e2,578.549147407524,3
02d8e64c-cb53-446b-955e-cbbf93c8f747,202.990871944465,1
02ebaed5-c07a-4bdd-bb7b-5334d5b25b39,188.992480740882,248
02f0f7e0-26d9-481f-863c-2e1133246599,20.3735339813866,0
03010015-22ad-42f9-a57b-450477eafa3b,32.5477816667408,1
031f1b88-5440-45af-8fa9-1423a0a15145,578.549147407524,1
032a9f21-2dc3-4edd-a757-21d8ba63ce66,306.064043241087,46
03309cb5-124c-4687-9fc6-fa7e76a84aea,167.072596481536,23
0337e2c8-9f22-4198-9920-7d0dd03b3467,578.549147407524,1
034bc7eb-fe02-4931-8d3e-f3f93a138fdb,305.049182129558,9
0368a5c3-bc5d-45f2-b8a0-07e74ea1574f,578.549147407524,343
0375a135-e973-49a6-89f6-dfbca84dcd17,196.086601111107,88
038d7c90-b7c3-46d2-b7ea-3db6fc63d625,578.549147407524,3
0390e2ff-dbc3-4962-a1de-6fb45cae2a13,578.549147407524,1
039371da-962c-453b-b9d9-20859d426458,578.549147407524,5
03a53a4f-86d3-483d-92c2-5c68ed9b7ea4,7.03054787032306,1
03a59296-ca4e-4521-b7a1-4c6b8a604c17,297.003649722319,0
03a676ed-24fe-4f86-807e-3f804e57b82e,578.549147407524,33
03ad2c81-1094-4f41-8c1d-dd71e9537d48,194.020883518737,6
03d75a45-0b36-4fd7-a84e-7b36912f1998,578.549147407524,28
03f108c1-e828-46d6-addd-87025871bfa4,186.061045555864,986
03f9edbb-7420-4f36-9a24-894de6aa5678,279.035883518867,351
040f3c5d-26db-479d-a871-3d5ba2cd3ad8,7.03246916690841,0
04101b81-6ec5-445f-8a11-7539ecad2261,7.02595296315849,0
04124257-0643-41d9-bc4a-2ed6ad3e27de,203.077723796479,7
042fa213-0c29-487c-8600-799e09551991,578.549147407524,18
043c4972-df0d-4181-8b77-dd6c351fdebc,578.549147407524,76
044e95f2-8756-42bd-a0a3-d50708beb8da,179.066531666555,567
04612efc-dc61-4434-90a1-afc1b43767c1,192.01518907398,285
046ce80c-65e2-40bb-864b-8790592a2793,7.03564046323299,1
04868bca-454e-4f72-aef5-df2f95fe1577,286.023788611405,31
048940be-2b8a-4844-b576-0044ae29649e,578.549147407524,1
048f3edb-eeec-4105-8849-0d7f21013add,578.549147407524,94
04922c03-c42f-4591-92b5-cfb33375fde4,7.03263120399788,2
04a6cf69-48dd-48da-b799-f9c1d70570bb,277.042689074297,50
04b0b9a3-6749-43ac-bbc9-3f0c967f2c09,578.549147407524,5
04b34e7c-926f-45a6-a521-bfb4631f7bc6,578.549147407524,5
04c0099a-17fc-4535-88c0-36251c16b582,578.549147407524,8
04c29efc-7d2d-478d-af99-cc40df7a3c30,578.549147407524,2
04c86a84-0b8c-48ea-9e87-979b337629aa,578.549147407524,11
04ebbfc3-0ac0-45fe-84bc-f4aa07ab46aa,578.549147407524,39
0502e189-6816-4bea-8de9-72a2fbf9d4eb,235.006207592785,22
05107866-f587-487b-9f12-8235c9b5945e,89.0019599073566,2
05150214-b94e-437e-8a48-de7426c9b084,578.549147407524,4
052e957b-8569-4932-9b89-ff25f944a094,217.022295555566,72
053c1321-f73d-4b7c-ab92-bda971ff18a6,578.549147407524,109
